Area,Week,Number - Total Housing Insecurity (Missed Payment or Low Confidence),Margin of Error +/-,Percent - Percent Housing Insecurity (Missed Payment or Low Confidence),Percent Margin of Error +/-,Measure Universe,Total Population age 18+
District of Columbia,"12 - July 16-21, 2020",90295,19702,23.1,4.7,390594,"542,635"
Florida,"12 - July 16-21, 2020",3462475,400640,31.6,3.5,10949217,"17,085,385"
Georgia,"12 - July 16-21, 2020",1504105,235649,28.3,3.7,5316629,"7,955,983"
Hawaii,"12 - July 16-21, 2020",157749,30770,22.4,3.9,705175,"1,073,229"
Idaho,"12 - July 16-21, 2020",209510,42156,23.5,4.5,891536,"1,343,198"
Illinois,"12 - July 16-21, 2020",1883792,303705,27.9,4.1,6759275,"9,546,424"
Indiana,"12 - July 16-21, 2020",794636,125472,24,3.7,3313376,"5,015,550"
Iowa,"12 - July 16-21, 2020",180491,49458,11.5,3.2,1569408,"2,342,905"
Kansas,"12 - July 16-21, 2020",377403,52450,25.7,3.5,1469520,"2,140,957"
Kentucky,"12 - July 16-21, 2020",617974,127454,29.5,5.6,2098371,"3,344,102"
Louisiana,"12 - July 16-21, 2020",771011,89186,35.5,3.8,2172723,"3,431,432"
Maine,"12 - July 16-21, 2020",117995,33870,16.9,4.7,698437,"1,065,620"
Maryland,"12 - July 16-21, 2020",860968,111176,26,3.3,3310051,"4,586,920"
Massachusetts,"12 - July 16-21, 2020",654017,136213,17.1,3.5,3822175,"5,324,065"
Michigan,"12 - July 16-21, 2020",1098426,201057,21.4,3.7,5144348,"7,644,458"
Minnesota,"12 - July 16-21, 2020",547847,115175,18.5,3.9,2958344,"4,241,624"
Mississippi,"12 - July 16-21, 2020",433947,66466,34.4,5.1,1261168,"2,189,670"
Missouri,"12 - July 16-21, 2020",619890,113567,19.9,3.6,3122476,"4,617,880"
Montana,"12 - July 16-21, 2020",110846,31468,20.1,5.2,551531,"822,204"
Nebraska,"12 - July 16-21, 2020",128618,30450,13.4,3.2,956759,"1,418,191"
Nevada,"12 - July 16-21, 2020",592180,73102,33.6,4,1762188,"2,399,457"
New Hampshire,"12 - July 16-21, 2020",111300,24746,14.9,3.2,747723,"1,073,014"
New Jersey,"12 - July 16-21, 2020",1344779,221150,27.8,4.5,4841471,"6,776,822"
New Mexico,"12 - July 16-21, 2020",274270,55804,29.8,5.3,921880,"1,589,574"
New York,"12 - July 16-21, 2020",3370074,382949,33.9,3.7,9935801,"14,847,080"
North Carolina,"12 - July 16-21, 2020",1203296,225042,23,4.3,5240219,"8,017,566"
North Dakota,"12 - July 16-21, 2020",54587,15598,15.3,4.5,356948,"561,016"
Ohio,"12 - July 16-21, 2020",1317874,259460,23.1,4.3,5697208,"8,822,539"
Oklahoma,"12 - July 16-21, 2020",586914,109944,31,5.2,1895230,"2,916,436"
Oregon,"12 - July 16-21, 2020",429500,87834,17.4,3.5,2464920,"3,302,727"
Pennsylvania,"12 - July 16-21, 2020",1312053,213732,20.6,3.2,6359385,"9,776,154"
Rhode Island,"12 - July 16-21, 2020",139601,28921,24.4,5.1,573217,"817,559"
South Carolina,"12 - July 16-21, 2020",711163,140276,27.6,4.6,2579685,"3,969,123"
South Dakota,"12 - July 16-21, 2020",77582,24378,18.8,5.6,411805,"642,658"
Tennessee,"12 - July 16-21, 2020",998107,178638,31.1,4.6,3213357,"5,221,475"
Texas,"12 - July 16-21, 2020",4988657,484208,35.7,2.8,13966380,"21,356,906"
Utah,"12 - July 16-21, 2020",241527,64634,14.4,3.8,1680293,"2,281,207"
Vermont,"12 - July 16-21, 2020",40745,10351,12.3,3.3,331471,"485,485"
Virginia,"12 - July 16-21, 2020",996495,174550,21.3,3.6,4668241,"6,472,737"
Washington,"12 - July 16-21, 2020",876393,143955,20.2,3,4333801,"5,890,357"
West Virginia,"12 - July 16-21, 2020",176256,43048,20.8,4.7,849362,"1,379,576"
Wisconsin,"12 - July 16-21, 2020",391444,73953,12.3,2.4,3171371,"4,438,719"
Wyoming,"12 - July 16-21, 2020",79079,18926,25.6,6.1,309479,"433,400"
Alabama,"11 - July 9-14, 2020",817178,94326,35.1,3.6,2330658,"3,717,378"
Alaska,"11 - July 9-14, 2020",66404,17772,20,5.5,332195,"524,925"
Arizona,"11 - July 9-14, 2020",997492,174245,24.8,4,4021732,"5,597,268"
Arkansas,"11 - July 9-14, 2020",364105,78455,27.7,5.2,1316592,"2,246,527"
California,"11 - July 9-14, 2020",7003562,542232,30,2.1,23336619,"29,939,021"
Colorado,"11 - July 9-14, 2020",592351,140582,18.6,4.1,3189900,"4,454,718"
Connecticut,"11 - July 9-14, 2020",391721,73648,21.7,3.7,1808272,"2,732,423"
Delaware,"11 - July 9-14, 2020",110362,25169,22.2,4.8,497251,"754,637"
District of Columbia,"11 - July 9-14, 2020",78862,21357,19.2,4.7,411728,"542,635"
Florida,"11 - July 9-14, 2020",3333798,335738,30.2,3,11030764,"17,085,385"
Georgia,"11 - July 9-14, 2020",1503393,193766,28.3,3.4,5311736,"7,955,983"
Hawaii,"11 - July 9-14, 2020",174066,34625,21.9,4.7,793116,"1,073,229"
Idaho,"11 - July 9-14, 2020",230730,46431,24.3,4.4,948130,"1,343,198"
Illinois,"11 - July 9-14, 2020",1543956,278788,24,4,6422766,"9,546,424"
Indiana,"11 - July 9-14, 2020",859079,138438,26,4.3,3308766,"5,015,550"
Iowa,"11 - July 9-14, 2020",344827,66865,21.4,4,1613987,"2,342,905"
Kansas,"11 - July 9-14, 2020",281067,52909,19.7,3.7,1427847,"2,140,957"
Kentucky,"11 - July 9-14, 2020",515309,93268,24.7,4.4,2089404,"3,344,102"
Louisiana,"11 - July 9-14, 2020",755099,95135,36.5,4.3,2066021,"3,431,432"
Maine,"11 - July 9-14, 2020",89847,22776,13.3,3.4,676287,"1,065,620"
Maryland,"11 - July 9-14, 2020",741108,94092,24.4,2.9,3043091,"4,586,920"
